title,price,sid,linkwithprice,categoryId,productid
Viessmann Vitodens 222-W (13 kW),2857.6,9701,/preisvergleich/Relocate/475430102.html?categoryId=18406&pos=1&price=2857.6&productid=4677123&sid=9701&type=offer,18406,4677123
Viessmann Vitodens 222-W (13 kW),3008.99,276812,/preisvergleich/Relocate/513353429.html?categoryId=18406&pos=4&price=3008.99&productid=4677123&sid=276812&type=offer,18406,4677123
